"sepal_length","sepal_width","petal_length","petal_width","species"
0.611111111111111,2.8,4.6,1.5,"versicolor"
0.388888888888889,2.8,4.5,1.3,"versicolor"
0.555555555555555,3.3,4.7,1.6,"versicolor"
0.166666666666667,2.4,3.3,1,"versicolor"
0.638888888888889,2.9,4.6,1.3,"versicolor"
0.25,2.7,3.9,1.4,"versicolor"
0.194444444444444,2,3.5,1,"versicolor"
0.444444444444445,3,4.2,1.5,"versicolor"
0.472222222222222,2.2,4,1,"versicolor"
0.5,2.9,4.7,1.4,"versicolor"
0.361111111111111,2.9,3.6,1.3,"versicolor"
0.666666666666667,3.1,4.4,1.4,"versicolor"
0.361111111111111,3,4.5,1.5,"versicolor"
0.416666666666667,2.7,4.1,1,"versicolor"
0.527777777777778,2.2,4.5,1.5,"versicolor"
0.361111111111111,2.5,3.9,1.1,"versicolor"
0.444444444444445,3.2,4.8,1.8,"versicolor"
0.5,2.8,4,1.3,"versicolor"
0.555555555555555,2.5,4.9,1.5,"versicolor"
0.5,2.8,4.7,1.2,"versicolor"
0.583333333333333,2.9,4.3,1.3,"versicolor"
0.638888888888889,3,4.4,1.4,"versicolor"
0.694444444444444,2.8,4.8,1.4,"versicolor"
0.666666666666667,3,5,1.7,"versicolor"
0.472222222222222,2.9,4.5,1.5,"versicolor"
0.388888888888889,2.6,3.5,1,"versicolor"
0.333333333333333,2.4,3.8,1.1,"versicolor"
0.333333333333333,2.4,3.7,1,"versicolor"
0.416666666666667,2.7,3.9,1.2,"versicolor"
0.472222222222222,2.7,5.1,1.6,"versicolor"
0.305555555555556,3,4.5,1.5,"versicolor"
0.472222222222222,3.4,4.5,1.6,"versicolor"
0.666666666666667,3.1,4.7,1.5,"versicolor"
0.555555555555555,2.3,4.4,1.3,"versicolor"
0.361111111111111,3,4.1,1.3,"versicolor"
0.333333333333333,2.5,4,1.3,"versicolor"
0.333333333333333,2.6,4.4,1.2,"versicolor"
0.5,3,4.6,1.4,"versicolor"
0.416666666666667,2.6,4,1.2,"versicolor"
0.194444444444444,2.3,3.3,1,"versicolor"
0.361111111111111,2.7,4.2,1.3,"versicolor"
0.388888888888889,3,4.2,1.2,"versicolor"
0.388888888888889,2.9,4.2,1.3,"versicolor"
0.527777777777778,2.9,4.3,1.3,"versicolor"
0.222222222222222,2.5,3,1.1,"versicolor"
0.388888888888889,2.8,4.1,1.3,"versicolor"
0.555555555555555,3.3,6,2.5,"virginica"
0.416666666666667,2.7,5.1,1.9,"virginica"
0.777777777777778,3,5.9,2.1,"virginica"
0.555555555555555,2.9,5.6,1.8,"virginica"
0.611111111111111,3,5.8,2.2,"virginica"
0.916666666666667,3,6.6,2.1,"virginica"
0.166666666666667,2.5,4.5,1.7,"virginica"
0.833333333333333,2.9,6.3,1.8,"virginica"
0.666666666666667,2.5,5.8,1.8,"virginica"
0.805555555555556,3.6,6.1,2.5,"virginica"
0.611111111111111,3.2,5.1,2,"virginica"
0.583333333333333,2.7,5.3,1.9,"virginica"
0.694444444444444,3,5.5,2.1,"virginica"
0.388888888888889,2.5,5,2,"virginica"
0.416666666666667,2.8,5.1,2.4,"virginica"
0.583333333333333,3.2,5.3,2.3,"virginica"
0.611111111111111,3,5.5,1.8,"virginica"
0.944444444444444,3.8,6.7,2.2,"virginica"
0.944444444444444,2.6,6.9,2.3,"virginica"
0.472222222222222,2.2,5,1.5,"virginica"
0.722222222222222,3.2,5.7,2.3,"virginica"
0.361111111111111,2.8,4.9,2,"virginica"
0.944444444444444,2.8,6.7,2,"virginica"
0.555555555555555,2.7,4.9,1.8,"virginica"
0.666666666666667,3.3,5.7,2.1,"virginica"
0.805555555555556,3.2,6,1.8,"virginica"
0.527777777777778,2.8,4.8,1.8,"virginica"
0.5,3,4.9,1.8,"virginica"
0.583333333333333,2.8,5.6,2.1,"virginica"
0.805555555555556,3,5.8,1.6,"virginica"
0.861111111111111,2.8,6.1,1.9,"virginica"
1,3.8,6.4,2,"virginica"
0.583333333333333,2.8,5.6,2.2,"virginica"
0.555555555555555,2.8,5.1,1.5,"virginica"
0.5,2.6,5.6,1.4,"virginica"
0.944444444444444,3,6.1,2.3,"virginica"
0.555555555555555,3.4,5.6,2.4,"virginica"
0.583333333333333,3.1,5.5,1.8,"virginica"
0.472222222222222,3,4.8,1.8,"virginica"
0.722222222222222,3.1,5.4,2.1,"virginica"
0.666666666666667,3.1,5.6,2.4,"virginica"
0.722222222222222,3.1,5.1,2.3,"virginica"
0.694444444444444,3.2,5.9,2.3,"virginica"
0.666666666666667,3.3,5.7,2.5,"virginica"
0.666666666666667,3,5.2,2.3,"virginica"
0.555555555555555,2.5,5,1.9,"virginica"
0.611111111111111,3,5.2,2,"virginica"
0.527777777777778,3.4,5.4,2.3,"virginica"
0.444444444444445,3,5.1,1.8,"virginica"
